index,Bool_hp,Bool_hpdhw,E_bu,E_budhw,E_cons,E_hp,E_hpdhw,Q_dhwst_hd,Q_hp_sh,Q_hp_ts,Q_loss_dhwst,Q_loss_ts,Q_ts,Q_ts_delta,Q_ts_sh,T_dhwst,T_ts,Set_T,Temp,Req_kWh,Req_kWh_DHW,Temp_supply,Temp_supply_tank,COP_SH,COP_tank,COP_DHW,hp_sh_cons,hp_tank_cons,hp_dhw_cons,Price_flat,Price_DT,Export_price,Price_flat_mod,Price_DT_mod,T_var,Cooling,season,E_PV,T_aux_supply
2017-01-02 06:00:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.25,1.7770175,0.561667083333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 06:15:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.25,1.7770175,0.5010908333333329,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 06:30:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.25,1.7770175,0.668401666666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 06:45:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.25,1.7770175,0.4445458333333329,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 07:00:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.15,2.43974,0.3366079166666661,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 07:15:00+01:00,1.0,0.0,0.0,0.0,1.3128786407766988,1.3128786407766988,0.0,0.0,2.70453,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.15,2.43974,0.35469416666666603,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 07:30:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.15,2.43974,0.154207916666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 07:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.15,2.43974,0.226695833333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 08:00:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.34999999999997,1.375135,0.21070833333333305,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 08:15:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.34999999999997,1.375135,0.16734375,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
